,tCont,vYSmooth
0,0.002,0
1,0.007333333,804.4342586
2,0.008,811.9674643
3,0.009333333,759.9383565
4,0.011333333,714.8568332
5,0.012,698.3973699
6,0.013333333,621.202077
7,0.015333333,583.107258
8,0.022,528.0173751
9,0.026666667,477.675977
10,0.027333333,431.652224
11,0.028666667,389.580961
12,0.029333333,350.9286586
13,0.03,315.3455473
14,0.030666667,282.8214459
15,0.031333333,252.3461484
16,0.032,224.8169699
17,0.032666667,199.4052906
18,0.033333333,175.4247069
19,0.034,153.0243915
20,0.037333333,131.6044742
21,0.038666667,111.5271595
22,0.04,92.17064688
23,0.040666667,73.69581744
24,0.041333333,122.3535388
25,0.044666667,105.5626421
26,0.045333333,103.0221816
27,0.046,101.3428562
28,0.046666667,100.6124081
29,0.047333333,100.7086152
30,0.048,101.5717669
31,0.048666667,36.88210711
32,0.049333333,39.05135788
33,0.05,-24.73856143
34,0.050666667,-22.44272094
35,0.051333333,-20.35455821
36,0.052,-18.49983823
37,0.052666667,-16.7355097
38,0.053333333,-15.05941757
39,0.054,-13.60978408
40,0.054666667,-12.34602603
41,0.055333333,-11.31490247
42,0.056,-10.34829047
43,0.056666667,-9.387384047
44,0.057333333,-8.572354899
45,0.058,-7.827189117
46,0.058666667,-6.998583702
47,0.059333333,-6.272497937
48,0.06,-5.608114525
49,0.060666667,-4.990898482
50,0.061333333,-4.460272227
51,0.062,-3.982437184
52,0.062666667,-3.54261252
53,0.063333333,-3.092900851
54,0.064,-2.75261578
55,0.064666667,-2.415394056
56,0.065333333,-2.054937736
57,0.066,-1.775225603
58,0.066666667,-1.455836875
59,0.067333333,-1.28642994
60,0.068,-1.064273474
61,0.068666667,-0.925867223
62,0.069333333,-0.821378035
63,0.07,-0.68733916
64,0.070666667,-0.570306598
65,0.071333333,-0.449000774
66,0.072,-0.346540495
67,0.072666667,-0.33521129
68,0.073333333,-0.21214672
69,0.074,-0.055183646
70,0.074666667,-0.012090301
71,0.075333333,0.027549719
72,0.076,0.072583252
73,0.076666667,0.149588528
74,0.077333333,0.185504058
75,0.078,0.284411107
76,0.078666667,0.328350545
77,0.079333333,0.44503144
78,0.08,0.480921969
79,0.080666667,0.5543486
80,0.081333333,0.591760302
81,0.082,0.681051608
82,0.082666667,0.757516761
83,0.083333333,0.828932878
84,0.084,0.873621881
85,0.084666667,0.936836227
86,0.085333333,1.018547732
87,0.086,1.072729005
88,0.086666667,1.057834921
89,0.087333333,1.12095081
90,0.088,1.200684235
91,0.088666667,1.269280097
92,0.089333333,1.327581683
93,0.09,1.399279104
94,0.090666667,1.458047011
95,0.091333333,1.50204782
96,0.092,1.516096414
97,0.092666667,1.524885355
98,0.093333333,1.561533053
99,0.094,1.650790618
100,0.094666667,1.672555958
101,0.095333333,1.691368406
102,0.096,1.736279172
103,0.096666667,1.746154257
104,0.097333333,1.758754761
105,0.098,1.742089298
106,0.098666667,1.792574777
107,0.099333333,1.848519702
108,0.1,1.906046352
109,0.100666667,1.950491671
110,0.101333333,1.962863826
111,0.102,1.978497545
112,0.102666667,1.98490842
113,0.103333333,2.051881752
114,0.104,2.095644828
115,0.104666667,2.126465853
116,0.105333333,2.194941087
117,0.106,2.269259391
118,0.106666667,2.314630614
119,0.107333333,2.350914056
120,0.108,2.379141067
121,0.108666667,2.423129725
122,0.109333333,2.458891389
123,0.11,2.512313589
124,0.110666667,2.563842565
125,0.111333333,2.627304082
126,0.112,2.638457109
127,0.112666667,2.679785991
128,0.113333333,2.726629939
129,0.114,2.760186777
130,0.114666667,2.802217453
131,0.115333333,2.81320299
132,0.116,2.844344472
133,0.116666667,2.937726897
134,0.117333333,2.968686169
135,0.118,2.987849354
136,0.118666667,2.98433936
137,0.119333333,3.060401237
138,0.12,3.077084861
139,0.120666667,3.094977676
140,0.121333333,3.109282646
141,0.122,3.193624186
142,0.122666667,3.176032059
143,0.123333333,3.21040245
144,0.124,3.28105184
145,0.124666667,3.309490472
146,0.125333333,3.265553583
147,0.126,3.292368842
148,0.126666667,3.353197915
149,0.127333333,3.379089961
150,0.128,3.374156713
151,0.128666667,3.378910638
152,0.129333333,3.39569345
153,0.13,3.422075599
154,0.130666667,3.460319391
155,0.131333333,3.482641751
156,0.132,3.498165659
157,0.132666667,3.526245311
158,0.133333333,3.541448661
159,0.134,3.575361942
160,0.134666667,3.600141989
161,0.135333333,3.618289216
162,0.136,3.652262012
163,0.136666667,3.654527773
164,0.137333333,3.681483049
165,0.138,3.72627517
166,0.138666667,3.749284595
167,0.139333333,3.780562275
168,0.14,3.761710397
169,0.140666667,3.778917406
170,0.141333333,3.804526344
171,0.142,3.810571168
172,0.142666667,3.801786064
173,0.143333333,3.838517013
174,0.144,3.878212615
175,0.144666667,3.895391236
176,0.145333333,3.928422766
177,0.146,3.957854548
178,0.146666667,4.003067556
179,0.147333333,4.072504828
180,0.148,4.10079798
181,0.148666667,4.114405822
182,0.149333333,4.140524913
183,0.15,4.158030624
184,0.150666667,4.176479772
185,0.151333333,4.208964604
186,0.152,4.233954536
187,0.152666667,4.256370731
188,0.153333333,4.302816317
189,0.154,4.307983713
190,0.154666667,4.317565693
191,0.155333333,4.322151261
192,0.156,4.343837736
193,0.156666667,4.343309437
194,0.157333333,4.389260945
195,0.158,4.42708014
196,0.158666667,4.420165729
197,0.159333333,4.43126645
198,0.16,4.446487617
199,0.160666667,4.461919868
200,0.161333333,4.479627721
201,0.162,4.497340708
202,0.162666667,4.53029558
203,0.163333333,4.552406973
204,0.164,4.57889295
205,0.164666667,4.615380266
206,0.165333333,4.638289952
207,0.166,4.654712316
208,0.166666667,4.674350671
209,0.167333333,4.683811146
210,0.168,4.714367315
211,0.168666667,4.728165889
212,0.169333333,4.740415148
213,0.17,4.74950156
214,0.170666667,4.769194068
215,0.171333333,4.789400729
216,0.172,4.806186951
217,0.172666667,4.834961037
218,0.173333333,4.837574953
219,0.174,4.840849713
220,0.174666667,4.860235864
221,0.175333333,4.871095989
222,0.176,4.873920555
