,id,mass,area,loading,span,chord,aspect,,,
0,1,0.7,1509.184644,463.8544414,67.94701538,29.28650766,51.53173816,3.059133233,,51.53173816
1,2,0.3,1017.6785,294.8062674,55.64843302,24.12577266,42.18221379,3.042953248,,42.18221379
2,3,0.4,1168.701696,342.2806703,61.12189947,24.83221218,47.06393807,3.196612623,,47.06393807
3,4,0.4,994.9517085,402.0536842,63.05516368,20.82444822,47.77805865,3.996127283,,47.77805865
4,5,0.4,1145.032319,349.3560779,60.88932061,24.84776749,46.08189928,3.237908051,,46.08189928
5,6,0.7,1522.276114,459.8653251,74.06287226,27.06077753,56.25396803,3.603360124,,
6,7,0.5,1050.145345,476.1531365,61.96809406,21.9869148,47.76228746,3.656679239,,
7,8,0.3,996.1037578,301.1915151,58.66222699,22.38427864,44.50015004,3.454717291,,
8,9,0.6,1405.186008,427.0153537,67.63961743,27.79714225,50.5514558,3.255880588,,
9,10,0.4,833.7695317,479.7776661,51.88749211,22.17532952,37.5989692,3.22908398,,
10,11,0.5,1109.423521,450.7115548,63.45347724,22.89434772,48.45840268,3.629221572,,
11,12,0.4,1049.83115,381.0365124,59.61057332,22.82143507,46.00197784,3.384754255,,
12,13,0.5,1087.429851,459.827362,60.4721242,24.23299253,44.87393995,3.362863177,,
13,14,0.5,1110.785034,450.1591081,61.56779725,25.14070128,44.18273863,3.412535768,,
14,15,0.6,1400.158883,428.5485077,68.96562071,26.24253884,53.35455125,3.396940802,,
15,16,0.8,1077.480334,742.5174961,64.49352131,22.33357114,48.2448744,3.860315737,,
16,17,0.7,937.2445094,746.9150184,65.60613585,19.61082372,47.7922051,4.592360924,,
17,18,0.4,922.0584044,433.8380282,58.83854838,20.29610733,45.43030786,3.754615498,,
18,19,0.5,931.9031897,536.5686109,56.29438144,21.16045677,44.03984281,3.400629397,,
19,20,0.4,818.4786949,488.7408829,52.42303104,21.22999998,38.55292962,3.357661232,,
20,21,0.5,1066.4835,468.8586369,52.69406694,27.2295133,39.16645472,2.60357023,,
21,22,0.4,1109.842448,360.4331415,55.92712611,26.8865267,41.2787587,2.818276992,,
22,23,0.4,778.9948218,513.5130411,53.45020139,19.20213996,40.56812541,3.667449318,,
